SMILES,Type,Relation,Value
CC(=O)N[C@@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)cc(O)cc3[C@@H](C(=O)O)NC2=O)O[C@@H](CO)[C@@H](O)[C@@H]1O,IC50,,
O=C(O[C@H]1CN2CCC1CC2)[C@](O)(c1ccccc1)c1cccs1,IC50,'=',0.23
CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1.[Br-],IC50,'=',0.6
CC(C)NC(=O)CN1CCNCC1,IC50,'>',100000
,,,
Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,IC50,'=',1.3
O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCO)CC1,IC50,'=',10000
O=C(CCNS(=O)(=O)c1cccc2nsnc12)N1CCN(c2cccc(F)n2)CC1,IC50,'>',10000
O=C(CCNS(=O)(=O)c1cccc2nonc12)N1CCN(c2ccncc2)CC1,IC50,'=',2600
CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1.[I-],IC50,'=',39.81
,,,
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],IC50,'=',0.1
N#Cc1c(N2CCCNCC2)n(Cc2ccccc2)c2c(=O)n(Cc3nccc4ccccc34)cnc12,IC50,'>',10000
,,,
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,,
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,IC50,'=',4505
CN(C)CCN(Cc1cccs1)c1ccccn1,IC50,'=',4773
CN1CCC=C(c2nsnc2OCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,IC50,'=',645.65
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,IC50,'=',20.42
O=C1CCC(c2ccccc2)(C2CCN(Cc3ccc(Br)cc3)CC2)C(=O)N1,IC50,'=',9600
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,IC50,,
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,IC50,'=',15171
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,IC50,,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,IC50,,
NNc1nncc2ccccc12,IC50,,
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,IC50,,
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,IC50,,
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,IC50,,
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,IC50,,
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,IC50,,
CC(C)NCC(O)c1ccccc1Cl,IC50,,
O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,IC50,,
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,IC50,,
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,IC50,,
N=C(N)NCCN1CCCCCCC1,IC50,,
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,IC50,,
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,IC50,,
