SMILES,Type,Relation,Value
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)C1CCCCC1,EC50,,
CCC(=O)NC1CCN(CCCN2C(=O)CCc3cccc(F)c32)CC1,EC50,'=',310
O=C(NCC1CCOCC1)c1ccccc1-c1nc(Cl)cs1,EC50,'>',10000
CC(=O)Nc1cccc(-c2ccccc2C(=O)NCC2CCNCC2)c1,EC50,'>',10000
O=c1[nH]c2ccccc2n1C1CCN(C2CCN(Cc3ccccc3C(F)(F)F)CC2)CC1,EC50,'=',410
CCCCCCOc1nsnc1C1=CCCN(C)C1,EC50,'=',1.6
COc1ccc(CC(=O)NC2CCN(CCCN3C(=O)CCc4cc(F)c(F)cc43)CC2)cc1OC,EC50,'=',13
CCC(=O)NC1CCN(CCCN2C(=O)CCc3cc(F)c(F)cc32)CC1,EC50,'=',20
Clc1cccc(C#CCSc2nsnc2C23CN4CC2C3C4)c1,EC50,'=',9
CCCSc1nsnc1OC1CN2CCCC1C2,EC50,,
C(#Cc1ccccc1)COc1nsnc1C12CN3CC1C2C3,EC50,'=',70.5
CCCCCCOc1nsnc1C1=CCCN(C)C1,EC50,'=',200
CCCCOc1nsnc1OCCN(C)C,EC50,,
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC1C2,EC50,'=',0.99
Cc1cc2c(cc1Cc1ccc(-c3cnn(C)c3)cc1)C(=O)N([C@H]1CCOC[C@@H]1O)C2,EC50,'=',27
Cn1ccc(-c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c4ncccc43)cc2)n1,EC50,'=',55
Cc1cccc(-c2cccc(Cl)c2)c1C(=O)NCC1CCNCC1,EC50,'>',10000
O=C(NCC1CCNCC1)c1cccnc1-c1cccc(Cl)c1,EC50,'>',10000
Clc1cccc(-c2ccccc2/C=C/CC2CCNCC2)c1,EC50,'=',1000
Clc1cccc(-c2ccccc2OCCC2CCNCC2)c1,EC50,'>',10000
O=C(Cc1ccccc1-c1cccc(Cl)c1)NC1CCNCC1,EC50,'=',158.49
